summary;type;component;epic;assignee;storyPoints;versions;fixVersions;backendSubTasks;frontendSubTasks;requirementSubTasks;stdTestsSubTasks;automationSubTasks;labels
GDP-STD-1137 - CREATE A PARAMETER GROUP;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1138 - MODIFY A PARAMETER GROUP;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1139 - DELETE A PARAMETER GROUP;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1140 - CREATE A PARAMETER GROUP SET;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1141 - MODIFY A PARAMETER GROUP SET;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1142 - LIST ALL PARAMETER GROUP SETS;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1143 - LIST ALL PARAMETER GROUPS;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1144 - LIST ALL PARAMETER;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1145 - DELETE A PARAMETER;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1147 - DARK THEME ON HISTORY TAB;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1148 - ON THE SAME PARAMETER GROUP SET, DIFFERENT PARAMETER GROUPS MUST HAVE A DIFFERENT NAME;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1152 - USER WITHOUT ADMINISTRATOR PERMISSIONS CANNOT MODIFY A PARAMETER;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1153 - STRING LIST PARAMETER;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1154 - REJECT MOTIFIDED PARAMETERS WHEN VALIDATION FAILS;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1155 - REJECT A PARAMETER CONFIGURATION ACTIVATION WHEN VALIDATION FAILS;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1156 - CANNOT REACTIVATE A SNAPSHOT;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1206 - DELETE AN OPENED DASHBOARD;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1207 - CLONE AN OPENED DASHBOARD;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1210 - HEADER INFORMATION;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1211 - FOOTER INFORMATION;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1212 - PENDING NOTIFICATIONS;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1213 - FILTER NOTIFICATIONS;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1214 - CREATE NOTIFICATIONS;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1215 - LOCK/UNLOCK A DASHBOARD;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1217 - SPOTLIGHT;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1218 - GLOBAL SEARCH;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1219 - MODIFY THEME IN WIDGET;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1220 - LIST WIDGETS;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1221 - SEARCH FOR A WIDGET;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
